Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX53,~,mx_1u,240.50625,-108.74375,0.0,top
MX54,~,mx_1u,259.55625,-108.74375,0.0,top
MX55,~,mx_175u,285.75,-108.74375,0.0,top
MX56,~,mx_1u,311.94375,-108.74375,0.0,top
MX56b1,~,mx_275u,295.275,-108.74375,0.0,top
MX57,~,mx_15u,50.00625,-127.79375,0.0,top
MX58,~,mx_1u,73.81875,-127.79375,0.0,top
MX59,~,mx_15u,97.63125,-127.79375,0.0,top
MX60,~,mx_7u,178.59375,-127.79375,0.0,top
MX61,~,mx_15u,259.55625,-127.79375,0.0,top
MX62,~,mx_1u,283.36875,-127.79375,0.0,top
MX63,~,mx_15u,307.18125,-127.79375,0.0,top
R1,10k,R_0402_1005Metric,129.667,-133.604,0.0,bottom
R2,5.1k,R_0402_1005Metric,176.022,-45.212,0.0,bottom
R3,5.1k,R_0402_1005Metric,180.975,-43.942,180.0,bottom
R4,22,R_0402_1005Metric,132.461,-118.491,90.0,bottom
R5,22,R_0402_1005Metric,133.477,-118.491,90.0,bottom
R6,10k,R_0402_1005Metric,152.781,-121.666,90.0,bottom
SW1,SW_Push,SKQG-1155865,163.957,-126.238,0.0,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,134.112,-127.0,180.0,bottom
U2,PRTR5V0U2X,SOT143B,170.688,-56.35625,180.0,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,178.59375,-39.535,270.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,142.3416,-126.9365,270.0,bottom
